H0	H1	H2	C0	C1	C2	
ENSG00000035499	4093	1039	1439	3028	1945	124
ENSG00000035664	43	65	8	14	153	2
ENSG00000035681	923	645	1403	683	1511	570
ENSG00000035687	3515	1309	1421	3823	1665	803
ENSG00000035720	0	0	0	0	0	2
ENSG00000035862	960	1647	4490	525	4276	2221
ENSG00000035928	3751	1781	1759	2965	2254	752
ENSG00000036054	2889	1312	1606	1525	1649	781
ENSG00000036257	2800	1976	2802	2806	2925	1342
ENSG00000036448	14	21	3	18	17	15
ENSG00000036530	4	10	0	2	44	1
ENSG00000036549	2316	1633	1768	2395	2368	1019
ENSG00000036565	0	0	0	2	1	0
ENSG00000036672	91	14	162	68	253	95
ENSG00000036828	8	8	0	1	1	0
ENSG00000037042	110	110	11	87	234	53
ENSG00000037241	370	182	272	1163	1039	316
ENSG00000037280	288	25	14	62	15	15
ENSG00000037474	3124	1815	2239	2204	2337	1525
ENSG00000037637	527	592	307	734	918	564
ENSG00000037749	977	1032	1061	773	1215	450
ENSG00000037757	404	408	312	372	289	121
ENSG00000037897	182	83	314	154	150	81
ENSG00000037965	0	8	291	1	1	0
ENSG00000038002	281	280	274	689	1012	304
ENSG00000038210	1258	1673	1790	1444	1701	438
ENSG00000038219	1474	1460	2362	1253	2909	1155
ENSG00000038274	3871	1416	1616	3736	2262	585
ENSG00000038295	19	5	3	66	6	203
ENSG00000038358	1438	1601	1289	1273	2255	1078
ENSG00000038382	1718	3949	6182	1836	4666	4669
ENSG00000038427	9104	1209	11261	3686	1601	6467
ENSG00000038532	235	393	627	157	420	317
ENSG00000038945	1	3	0	0	1	2
ENSG00000039068	6115	23141	2181	3470	19008	1713
ENSG00000039123	5975	2073	2750	5284	2711	1244
ENSG00000039139	7	19	83	51	91	103
ENSG00000039319	1579	2193	2992	1200	2640	798
ENSG00000039523	140	1151	2321	82	1849	2015
ENSG00000039537	0	0	0	0	0	4
ENSG00000039560	4062	4066	7656	3059	20076	4390
ENSG00000039600	11	4	1	0	7	1
ENSG00000039650	967	720	523	1482	1220	422
ENSG00000039987	13	2	111	8	0	3
ENSG00000040199	788	280	490	495	580	351
